Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,C9,8,81,60,7,0,0,0,0,0,0.37981,R
0,191,8,0,0,0,0,0,0,0,0,0.38007,R
0,199,8,0,0,0,0,0,0,0,FF,0.38971,R
0,C9,8,90,60,7,0,0,0,0,0,0.38988,R
0,F9,8,0,0,0,0,0,0,FF,0,0.39014,R
0,191,8,0,0,0,0,0,0,0,0,0.3904,R
0,C9,8,9F,60,7,0,0,0,0,0,0.39978,R
0,191,8,0,0,0,0,0,0,0,0,0.40004,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.40029,R
0,1C3,8,A4,60,7,0,0,0,0,0,0.40055,R
0,199,8,0,0,0,0,0,0,0,FF,0.40226,R
0,F9,8,0,0,0,0,0,0,FF,0,0.40251,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.40277,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.40302,R
0,C9,8,B3,60,7,0,0,0,0,0,0.40977,R
0,191,8,0,0,0,0,0,0,0,0,0.41002,R
0,121,4,2,0,0,0,,,,,0.4119,R
0,199,8,0,0,0,0,0,0,0,FF,0.41531,R
0,F9,8,0,0,0,0,0,0,FF,0,0.41557,R
0,C9,8,C1,60,7,0,0,0,0,0,0.41642,R
0,191,8,0,0,0,0,0,0,0,0,0.41668,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.41693,R
0,1C3,8,C6,60,7,0,0,0,0,0,0.41719,R
0,2C3,8,F8,60,7,0,0,0,0,0,0.41745,R
0,3C1,8,5C,61,7,0,0,0,0,0,0.4177,R
0,3D1,8,24,62,7,0,0,0,0,0,0.41796,R
0,3E9,8,C0,61,7,0,0,0,0,0,0.41821,R
0,3F9,8,BA,62,7,0,0,0,0,0,0.41838,R
0,3FB,8,56,62,7,0,0,0,0,0,0.41864,R
0,4C1,8,AE,64,7,0,0,0,0,0,0.4189,R
0,4D1,8,4A,64,7,0,0,0,0,0,0.41915,R
0,4F1,8,32,68,7,0,0,0,0,0,0.41941,R
0,772,8,96,68,7,0,0,0,0,0,0.41966,R
0,C9,8,41,68,7,0,0,0,0,0,0.42649,R
0,191,8,0,0,0,0,0,0,0,0,0.42666,R
0,199,8,0,0,0,0,0,0,0,FF,0.42794,R
0,F9,8,0,0,0,0,0,0,FF,0,0.4282,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.42837,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.42862,R
0,C9,8,50,68,7,0,0,0,0,0,0.43648,R
0,191,8,0,0,0,0,0,0,0,0,0.43673,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.43886,R
0,1C3,8,56,68,7,0,0,0,0,0,0.43912,R
0,199,8,0,0,0,0,0,0,0,FF,0.44091,R
0,F9,8,0,0,0,0,0,0,FF,0,0.44117,R
0,C9,8,64,68,7,0,0,0,0,0,0.44646,R
0,191,8,0,0,0,0,0,0,0,0,0.44672,R
0,199,8,0,0,0,0,0,0,0,FF,0.45354,R
0,F9,8,0,0,0,0,0,0,FF,0,0.4538,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.45397,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.45422,R
0,C9,8,73,68,7,0,0,0,0,0,0.45644,R
0,191,8,0,0,0,0,0,0,0,0,0.4567,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.46216,R
0,1C3,8,7A,68,7,0,0,0,0,0,0.46233,R
0,C9,8,87,68,7,0,0,0,0,0,0.46643,R
0,F9,8,0,0,0,0,0,0,FF,0,0.46668,R
0,191,8,0,0,0,0,0,0,0,0,0.46694,R
0,199,8,0,0,0,0,0,0,0,FF,0.4672,R
0,2C3,8,B9,68,7,0,0,0,0,0,0.46745,R
0,C9,8,C8,68,7,0,0,0,0,0,0.4765,R
0,191,8,0,0,0,0,0,0,0,0,0.47667,R
0,199,8,0,0,0,0,0,0,0,FF,0.47914,R
0,F9,8,0,0,0,0,0,0,FF,0,0.4794,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.47957,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.47982,R
0,C9,8,D7,68,7,0,0,0,0,0,0.48648,R
0,191,8,0,0,0,0,0,0,0,0,0.48674,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.48691,R
0,1C3,8,DC,68,7,0,0,0,0,0,0.48716,R
0,121,4,2,0,0,0,,,,,0.49186,R
0,199,8,0,0,0,0,0,0,0,FF,0.49211,R
0,F9,8,0,0,0,0,0,0,FF,0,0.49237,R
0,C9,8,EB,68,7,0,0,0,0,0,0.49646,R
0,191,8,0,0,0,0,0,0,0,0,0.49672,R
0,199,8,0,0,0,0,0,0,0,FF,0.50474,R
0,F9,8,0,0,0,0,0,0,FF,0,0.505,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.50525,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.50551,R
0,C9,8,FA,68,7,0,0,0,0,0,0.50653,R
0,191,8,0,0,0,0,0,0,0,0,0.50679,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.50884,R
0,1C3,8,0,69,7,0,0,0,0,0,0.50909,R
0,C9,8,0E,69,7,0,0,0,0,0,0.51643,R
0,191,8,0,0,0,0,0,0,0,0,0.51669,R
0,2C3,8,40,69,7,0,0,0,0,0,0.51694,R
0,3C1,8,A4,69,7,0,0,0,0,0,0.5172,R
0,3D1,8,6C,6A,7,0,0,0,0,0,0.51746,R
0,3E9,8,8,6A,7,0,0,0,0,0,0.51771,R
0,F9,8,0,0,0,0,0,0,FF,0,0.51797,R
0,199,8,0,0,0,0,0,0,0,FF,0.51822,R
0,C9,8,B3,69,7,0,0,0,0,0,0.5265,R
0,191,8,0,0,0,0,0,0,0,0,0.52667,R
0,199,8,0,0,0,0,0,0,0,FF,0.53034,R
0,F9,8,0,0,0,0,0,0,FF,0,0.5306,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.53085,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.53102,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.53213,R
0,1C3,8,BA,69,7,0,0,0,0,0,0.53239,R
0,C9,8,C7,69,7,0,0,0,0,0,0.53649,R
0,191,8,0,0,0,0,0,0,0,0,0.53674,R
